,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
102,5.0,50.0,100.0,30.0,30.0,,0.99,20.255208145754587
103,5.0,100.0,100.0,30.0,30.0,,0.99,13.600135029932986
104,5.0,10.0,100.0,30.0,30.0,,0.99,31.486789538696478
105,5.0,50.0,100.0,30.0,30.0,,0.99,31.201357315055915
106,5.0,100.0,100.0,30.0,30.0,,0.99,28.151470693073854
107,5.0,10.0,100.0,30.0,30.0,,0.99,31.592987195498228
108,5.0,50.0,100.0,30.0,30.0,,0.99,28.151470693073854
109,5.0,100.0,20.0,30.0,60.0,linear,0.99,28.82412891261973
110,5.0,10.0,20.0,30.0,60.0,linear,0.99,28.82412891261973
111,5.0,50.0,20.0,30.0,60.0,linear,0.99,28.82412891261973
112,5.0,100.0,20.0,30.0,60.0,linear,0.99,33.30761709288352
113,5.0,10.0,20.0,30.0,60.0,linear,0.99,43.13276631956143
114,5.0,50.0,20.0,30.0,60.0,linear,0.99,33.30761709288352
115,5.0,100.0,20.0,30.0,60.0,linear,0.99,14.544096948208313
116,5.0,10.0,20.0,30.0,60.0,linear,0.99,23.321026042130114
117,5.0,50.0,20.0,30.0,60.0,linear,0.99,20.70968401610248
118,5.0,100.0,50.0,30.0,60.0,linear,0.99,25.530202246566688
119,5.0,10.0,50.0,30.0,60.0,linear,0.99,38.36614773631489
120,5.0,50.0,50.0,30.0,60.0,linear,0.99,25.530202246566688
121,5.0,100.0,50.0,30.0,60.0,linear,0.99,18.39891863355698
122,5.0,10.0,50.0,30.0,60.0,linear,0.99,27.769044249553254
123,5.0,50.0,50.0,30.0,60.0,linear,0.99,23.005990485349123
124,5.0,100.0,50.0,30.0,60.0,linear,0.99,21.41487262664242
125,5.0,10.0,50.0,30.0,60.0,linear,0.99,35.79635571556456
126,5.0,50.0,50.0,30.0,60.0,linear,0.99,21.41487262664242
127,5.0,100.0,100.0,30.0,60.0,linear,0.99,21.178015276549434
128,5.0,10.0,100.0,30.0,60.0,linear,0.99,28.135755519045347
129,5.0,50.0,100.0,30.0,60.0,linear,0.99,21.178015276549434
130,5.0,100.0,100.0,30.0,60.0,linear,0.99,19.722317810941483
131,5.0,10.0,100.0,30.0,60.0,linear,0.99,19.722317810941483
132,5.0,50.0,100.0,30.0,60.0,linear,0.99,19.722317810941483
133,5.0,100.0,100.0,30.0,60.0,linear,0.99,26.339885568223725
134,5.0,10.0,100.0,30.0,60.0,linear,0.99,26.339885568223725
135,5.0,50.0,100.0,30.0,60.0,linear,0.99,26.339885568223725
136,5.0,100.0,20.0,30.0,60.0,geometric,0.99,27.85126830162502
137,5.0,10.0,20.0,30.0,60.0,geometric,0.99,30.26186878775883
138,5.0,50.0,20.0,30.0,60.0,geometric,0.99,27.85126830162502
